#NAME,McM22_E41_T16_0-3cm_S1,McM22_E41_T16_3-6cm_S2,McM22_E41_T16_6-9cm,McM22_E42_T16_0-3cm_S4,McM22_E42_T16_3-6cm_S5,McM22_E42_T16_6-9cm_S6,McM22_E43_T16_0-3cm_S7,McM22_E43_T16_3-6cm_S8,McM22_E43_T16_6-9cm_S9,McM22_E44_T16_0-3cm_S10,McM22_E44_T16_3-6cm,McM22_E44_T16_6-9cm_S12,McM22_E4_T0_0-3cm_S13,McM22_E4_T0_3-6cm_S14,McM22_E4_T0_6-9cm_S15,McM22_E51_B,McM22_E52_B_S17,McM22_E53_B_S18,McM22_E1_A_S19,McM22_E1_B_S20,McM22_E31_T12_0-3_cm_S21,McM22_E32_T12_0-3_cm_S22,McM23_E12_T0_13CH4_S23,McM23_E12_T0_13CH4_O2_S24,McM23_E12_TF_CH4_S25,McM23_E12_TF_-CH4_S26,McM23_E12_TF_CH4_O2_S27,McM23_E12_TF_-CH4_O2_S28,McM23_E14_T0_13CH4_S29,McM23_E14_T0_13CH4_O2_S30,McM23_E14_TF_CH4_S31,McM23_E14_TF_-CH4_S32,McM23_E14_TF_CH4_O2_S33,McM23_E14_TF_-CH4_C6301_C6328O2_S34
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__,81,161,105,111,170,77,80,224,210,82,62,102,58,89,147,171,90,102,481,382,232,285,306,170,202,157,272,185,529,290,188,612,182,244
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__AKAU3564_sediment_group;s__,55,286,125,95,230,144,78,424,311,82,79,156,101,158,260,161,130,137,145,202,85,131,613,32,420,389,80,16,580,75,240,511,68,125
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;__;__,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,0,0,0,0,3,0,0,8,0,0,0,0,0,4,2,0,0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__;__,16,273,146,25,248,179,42,422,432,38,97,239,62,105,382,435,311,372,60,191,292,366,2370,32,1311,1456,173,68,2833,498,1724,3380,297,596
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__uncultured;s__,265,1035,376,287,974,481,331,1582,821,271,418,534,435,548,686,223,151,151,20,32,270,321,49,19,47,39,45,33,574,214,347,702,169,256
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;__;__;__,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Gimesiaceae;g__uncultured;s__,13,33,24,14,51,23,34,62,49,14,9,24,19,0,50,33,34,46,88,102,13,27,71,43,48,42,84,69,58,24,45,73,13,33
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellulaceae;s__,9,25,20,0,31,5,15,17,54,0,7,31,0,0,42,34,40,47,40,34,14,13,99,0,56,69,46,12,99,29,0,77,26,37
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Planctomicrobium;s__,11,27,11,17,35,24,23,40,32,7,12,7,10,0,7,42,38,25,6,22,12,18,0,24,0,4,49,31,2,4,10,12,15,19
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__;__,5415,9415,4149,6303,9265,4974,8478,20561,7612,6424,4123,4461,3769,3520,3824,1443,1511,1605,1279,1624,3321,3797,999,2620,672,686,3583,3445,1423,3224,761,1991,2653,3517
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus;s__,68,236,150,112,252,148,65,395,331,52,122,202,58,146,235,229,159,158,77,105,179,205,1081,112,592,634,138,77,774,184,496,948,141,275
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__Rubinisphaeraceae;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliales;g__Babeliales;s__,0,4,12,0,7,10,4,15,25,2,2,13,6,11,19,31,14,30,5,8,2,20,125,16,62,112,10,13,85,9,50,44,8,7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured;s__,375,496,244,558,569,324,530,1031,434,529,232,265,264,221,283,163,161,128,510,647,529,466,109,854,57,63,1029,884,65,359,18,70,362,517
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__Babeliaceae;s__,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,3,4,2,0,4,0,0,2,0,4,0,0,0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__uncultured;f__uncultured;g__uncultured;s__,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__,128,81,41,171,107,9,294,630,507,219,282,191,198,92,72,16,17,17,36,0,76,39,38,445,15,13,296,278,45,103,50,54,90,108
d__Bacteria;p__Myxococcota;c__Polyangia;o__MidBa8;f__MidBa8;g__MidBa8;s__,22,101,52,22,114,83,22,201,97,22,47,71,29,76,140,47,61,27,40,38,74,82,142,44,66,72,18,34,127,60,143,213,33,56
d__Bacteria;p__Desulfobacterota;__;__;__;__;__,5,0,0,4,6,4,3,0,2,18,4,12,4,0,5,2,0,26,3,6,5,15,14,17,10,10,0,0,36,20,25,8,0,19
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__MSBL8;g__MSBL8;s__,104,900,467,171,770,564,215,1356,1029,172,345,658,64,276,789,861,541,559,5,20,302,366,1253,60,878,791,81,32,1726,260,889,1456,216,304
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Bythopirellula;s__,78,158,69,92,165,96,87,279,128,74,43,109,46,36,69,79,56,46,131,87,85,69,29,138,25,18,227,140,59,61,19,62,68,70
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__DEV007;s__,444,557,278,593,555,271,564,948,537,447,269,277,445,348,354,131,127,107,937,1119,584,549,136,997,119,70,1118,949,146,620,99,255,513,758
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__,12,15,0,26,8,5,25,50,5,12,25,2,6,13,15,19,13,20,10,15,20,30,17,37,12,15,27,62,3,0,5,11,39,23
